ID,Job_Title,Salary_Estimate,Rating,Company_Name,States,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_SalaryK,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
195,Lead Data Engineer,$190K-$220K,4.1,Credit Sesame,CA,"Mountain View, CA","Mountain View, CA",51 - 200,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),"Credit Karma, LendUp, SoFi",0,0,190,220,205,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,na
196,Marketing Data Analyst,$35K-$62K ,3.6,San Manuel Casino,CA,"Highland, CA","Highland, CA",1001 - 5000,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),Unknown,0,0,35,62,48.5,35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,analyst,na,M
197,Medical Laboratory Scientist,$18-$25 Per Hour,4,Texas Health Huguley Hospital,TX,"Burleson, TX","Arlington, TX",1001 - 5000,1977,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Unknown,1,0,37,52,44.5,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na
198,R&D Specialist/ Food Scientist,$39K-$66K ,2.4,Teasdale Latin Foods,IL,"Hoopeston, IL","Flower Mound, TX",501 - 1000,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),Unknown,0,0,39,66,52.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na
199,Senior Research Scientist-Machine Learning,$81K-$167K ,2.6,Software Engineering Institute,PA,"Pittsburgh, PA","Pittsburgh, PA",501 - 1000,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,Unknown,0,0,81,167,124,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,machine learning engineer,sr,P
200,Analytics Manager - Data Mart,$42K-$86K ,3.5,Central California Alliance for Health,CA,"Scotts Valley, CA","Scotts Valley, CA",501 - 1000,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Unknown,0,0,42,86,64,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data scientist project manager,na,na
201,Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K ,3,Pilot Flying J Travel Centers LLC,TN,"Knoxville, TN","Knoxville, TN",10000+,1958,Company - Private,Gas Stations,Retail,$10+ billion (USD),"TravelCenters of America, Love's Travel Stops & Country Stores, Wawa",0,0,69,127,98,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,M
202,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34 Per Hour,3.6,Beebe Healthcare,DE,"Millville, DE","Lewes, DE",1001 - 5000,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Unknown,1,0,43,70,56.5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na
203,Food Scientist - Developer,$40K-$68K ,3.3,Palermo's Pizza,WI,"Milwaukee, WI","Milwaukee, WI",501 - 1000,1964,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,Unknown,0,0,40,68,54,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na
204,Staff Scientist-Downstream Process Development,$49K-$113K ,2.7,Advanced BioScience Laboratories,MD,"Rockville, MD","Rockville, MD",201 - 500,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),Unknown,0,0,49,113,81,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
205,Sr. Data Engineer,$75K-$140K ,3.4,Echo Global Logistics,IL,"Chicago, IL","Chicago, IL",1001 - 5000,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),"C.H. Robinson, Total Quality Logistics, Coyote Logistics",0,0,75,140,107.5,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,na
206,Data Scientist - Quantitative,$86K-$139K ,3.8,Truckstop.com,IL,"Chicago, IL","New Plymouth, ID",501 - 1000,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,Unknown,0,0,86,139,112.5,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,data scientist,na,M
207,Data Scientist,$66K-$112K ,3.7,Lockheed Martin,VA,"Herndon, VA","Bethesda, MD",10000+,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Boeing, Northrop Grumman, Raytheon",0,0,66,112,89,26,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
208,Senior Research Statistician- Data Scientist,$76K-$125K ,4.8,Acuity Insurance,WI,"Sheboygan, WI","Sheboygan, WI",1001 - 5000,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),Unknown,0,0,76,125,100.5,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
209,"Business Data Analyst, sql_",$44K-$86K ,3.8,Fareportal,NY,"New York, NY","New York, NY",1001 - 5000,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",0,0,44,86,65,19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
210,Medical Technologist / Clinical Laboratory Scientist,$15-$25 Per Hour,3.4,"Veterans Affairs, Veterans Health Administration",LA,"New Orleans, LA","Washington, DC",10000+,1930,Government,Federal Agencies,Government,Unknown / Non-Applicable,Unknown,1,0,31,52,41.5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
211,Data Scientist,$53K-$92K ,4.3,Credera,TX,"Dallas, TX","Dallas, TX",201 - 500,1999,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,Unknown,0,0,53,92,72.5,22,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,data scientist,na,M
212,Senior Data Analyst,$44K-$78K ,4.8,KnowBe4,FL,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),Unknown,0,0,44,78,61,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,sr,M
213,BI & Platform Analytics Manager,$85K-$134K ,3.4,Church & Dwight,NJ,"Ewing, NJ","Ewing, NJ",1001 - 5000,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),Unknown,0,0,85,134,109.5,175,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Data scientist project manager,na,M
214,Data Engineer,$59K-$110K ,3.9,Cogo Labs,MA,"Cambridge, MA","Cambridge, MA",51 - 200,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,0,59,110,84.5,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
215,Data Scientist,$64K-$111K ,3.4,Spectrum Communications and Consulting,IL,"Chicago, IL","Chicago, IL",51 - 200,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),Unknown,0,0,64,111,87.5,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
216,Data Analyst,$65K-$120K ,3.1,NCSOFT,CA,"San Mateo, CA","Seoul, South Korea",1001 - 5000,1997,Company - Public,Video Games,Media,$10+ billion (USD),"Blizzard Entertainment, Riot Games, Electronic Arts",0,0,65,120,92.5,24,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,analyst,na,na
217,Associate Data Scientist/Computer Scientist,$60K-$103K ,3.2,MITRE,VA,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",0,0,60,103,81.5,63,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
218,Business Intelligence Analyst / Developer,$53K-$105K ,4.3,"Dayton Freight Lines, Inc.",OH,"Dayton, OH","Dayton, OH",1001 - 5000,1981,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,"Old Dominion Freight, Pitt Ohio Express",0,0,53,105,79,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
219,Lead Data Scientist,$124K-$204K ,3.6,MassMutual,MA,"Boston, MA","Springfield, MA",5001 - 10000,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Unknown,0,0,124,204,164,170,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,data scientist,sr,P
220,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K ,3.9,Genentech,CA,"South San Francisco, CA","South San Francisco, CA",10000+,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,131,207,169,45,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,P
221,Senior Data Scientist,$110K-$174K ,3.8,Juniper Networks,CA,"Cupertino, CA","Sunnyvale, CA",5001 - 10000,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),Unknown,0,0,110,174,142,25,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,data scientist,sr,P
222,Data Analyst,$33K-$62K ,2.8,Community Action Partnership of San Luis Obispo,CA,"Parlier, CA","San Luis Obispo, CA",501 - 1000,-1,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),Unknown,0,0,33,62,47.5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
223,Pricipal Scientist Molecular and cellular biologist,$52K-$101K ,3.7,Takeda Pharmaceuticals,MA,"Boston, MA","OSAKA, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,52,101,76.5,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
224,Data Analyst,$48K-$90K ,3.4,TrueAccord,CA,"San Francisco, CA","San Francisco, CA",51 - 200,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,48,90,69,8,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
225,Data Analyst,$34K-$64K ,4,DRB Systems,ID,"Meridian, ID","Akron, OH",201 - 500,1984,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),Unknown,0,0,34,64,49,37,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,analyst,na,na
226,Staff Data Scientist,$132K-$211K ,3.5,Western Digital,CA,"San Jose, CA","San Jose, CA",10000+,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",0,0,132,211,171.5,51,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
227,"Data Scientist (Actuary, FSA or ASA)",$81K-$133K ,3.8,Legal & General America,MD,"Frederick, MD","Frederick, MD",501 - 1000,1981,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),Unknown,0,0,81,133,107,40,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,M
228,System and Data Analyst,$42K-$76K ,3.7,Corcentric,NJ,"Cherry Hill, NJ","Cherry Hill, NJ",201 - 500,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,42,76,59,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M
229,Data Scientist,$66K-$111K ,3.5,U.Group,IN,"Indianapolis, IN","Arlington, VA",201 - 500,2019,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),Unknown,0,0,66,111,88.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
230,Data Engineer 5 - Contract (Remote),$74K-$140K ,4.2,The Church of Jesus Christ of Latter-day Saints,UT,"Riverton, UT","Salt Lake City, UT",10000+,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,Unknown,0,0,74,140,107,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M
231,Digital Health Data Scientist,$63K-$110K ,4,Pfizer,MA,"Cambridge, MA","New York, NY",10000+,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,63,110,86.5,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
232,Data Scientist,$63K-$105K ,4.3,SMC 3,KY,"Louisville, KY","Peachtree City, GA",51 - 200,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),Unknown,0,0,63,105,84,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,M
233,Data & Analytics Consultant (NYC),$91K-$138K ,4.7,Systems Evolution Inc.,NY,"New York, NY","Cincinnati, OH",201 - 500,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),Unknown,0,0,91,138,114.5,29,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data analitics,na,M
234,Senior Scientist - Neuroscience,$100K-$190K ,3.5,Sunovion,MA,"Marlborough, MA","Marlborough, MA",1001 - 5000,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Shire, GlaxoSmithKline, Allergan",0,0,100,190,145,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P
235,Data Engineer,$62K-$114K ,4.4,Eventbrite,TN,"Nashville, TN","San Francisco, CA",1001 - 5000,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"See Tickets, TicketWeb, Vendini",0,0,62,114,88,15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,data engineer,na,na
236,Big Data Engineer - Chicago - Future Opportunity,$71K-$129K ,4.1,Centro,IL,"Chicago, IL","Chicago, IL",501 - 1000,2001,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Mediaocean, The Trade Desk, MediaMath",0,0,71,129,100,20,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data engineer,na,na
237,Senior Data Analyst,$43K-$80K ,2.9,National Student Clearinghouse,VA,"Herndon, VA","Herndon, VA",201 - 500,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),"Ellucian, Parchment, College Board",0,0,43,80,61.5,28,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,sr,M
238,Data Scientist,$74K-$119K ,2.5,comScore,OR,"Portland, OR","Reston, VA",1001 - 5000,1999,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Nielsen, Hitwise, Coremetrics",0,0,74,119,96.5,22,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
239,Survey Data Analyst,$55K-$97K ,4.2,SullivanCotter,MN,"Minneapolis, MN","Chicago, IL",201 - 500,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies",0,0,55,97,76,29,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
240,Data Scientist,$15K-$16K,3.9,NPD,NY,"Port Washington, NY","Port Washington, NY",1001 - 5000,1966,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),Unknown,0,0,15,16,15.5,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
241,Data Scientist,$61K-$106K ,4.3,Bakery Agency,TX,"Austin, TX","Austin, TX",Jan-50,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,61,106,83.5,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,data scientist,na,na
242,"Risk and Analytics IT, Data Scientist",$91K-$149K ,2.7,State of Wisconsin Investment Board,WI,"Madison, WI","Madison, WI",51 - 200,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),Unknown,0,0,91,149,120,70,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,na,na
243,Data Scientist,$127K-$199K ,3.9,Genentech,CA,"South San Francisco, CA","South San Francisco, CA",10000+,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,127,199,163,45,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
244,Lead Health Data Analyst - Front End,$74K-$126K ,3.4,Blue Cross & Blue Shield of Rhode Island,RI,"Providence, RI","Providence, RI",501 - 1000,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,UnitedHealth Group,0,0,74,126,100,82,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,analyst,sr,na
245,Research Scientist,$33K-$72K ,3.8,Boys Town,NE,"Omaha, NE","Omaha, NE",1001 - 5000,1917,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,"Boys & Girls Clubs of America, AdoptUSKids, Foster Care to Success",0,0,33,72,52.5,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
246,Medical Lab Scientist,$17-$24 Per Hour,3.6,Tower Health,PA,"West Reading, PA","Reading, PA",5001 - 10000,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Unknown,1,0,35,49,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na
247,Junior Data Analyst,$37K-$63K ,3.3,The HSC Health Care System,DC,"Washington, DC","Washington, DC",501 - 1000,1883,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Unknown,0,0,37,63,50,138,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,jr,M
248,sql_ Data Engineer,$67K-$119K ,3.4,Pro-Sphere Tek,TX,"Austin, TX","Alexandria, VA",201 - 500,2006,Company - Private,Consulting,Business Services,$50 to $100 million (USD),Unknown,0,0,67,119,93,15,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,data engineer,na,M
249,Data Scientist,$72K-$117K ,3,Ameritas Life Insurance Corp,OH,"Cincinnati, OH","Lincoln, NE",1001 - 5000,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),Unknown,0,0,72,117,94.5,134,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
250,Senior Data Scientist,$116K-$185K ,4,Autodesk,CA,"San Francisco, CA","San Rafael, CA",5001 - 10000,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Unknown,0,0,116,185,150.5,39,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,data scientist,sr,P
251,Data Scientist,$78K-$126K ,3.7,Genworth,NC,"Raleigh, NC","Richmond, VA",1001 - 5000,2004,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"MetLife, Northwestern Mutual, Prudential",0,0,78,126,102,17,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,data scientist,na,M
252,"Scientist, Analytical Development",$42K-$82K ,4.4,Rubius Therapeutics,MA,"Cambridge, MA","Cambridge, MA",201 - 500,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Unknown,0,0,42,82,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
253,Analytics Manager,$59K-$116K ,4.3,OneMagnify,MI,"Dearborn, MI","Detroit, MI",201 - 500,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,59,116,87.5,54,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data scientist project manager,na,na
254,Clinical Data Scientist,$63K-$105K ,4,Pfizer,CT,"Groton, CT","New York, NY",10000+,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,63,105,84,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
255,Data Scientist,$109K-$177K ,4,Novetta,VA,"Herndon, VA","Mc Lean, VA",501 - 1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,na,na
256,"Sr. Data Scientist, Cyber-Security LT Contract",$116K-$194K ,3.2,"Numeric, LLC",PA,"Phila, PA","Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Unknown,0,0,116,194,155,-1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,data scientist,sr,M
257,Data Engineer,$48K-$95K ,4.2,IZEA,FL,"Winter Park, FL","Winter Park, FL",51 - 200,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",0,0,48,95,71.5,15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,data engineer,na,na
258,Data Scientist,$83K-$133K ,3.9,Trace Data,CA,"Oakland, CA","Santa Ana, CA",51 - 200,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),Unknown,0,0,83,133,108,21,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,data scientist,na,M
259,Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K ,3.7,Takeda Pharmaceuticals,CA,"San Diego, CA","OSAKA, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,105,198,151.5,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M
260,Digital Marketing & ECommerce Data Analyst,$31K-$72K ,3.6,Vionic Group,CA,"San Rafael, CA","San Rafael, CA",51 - 200,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),Unknown,0,0,31,72,51.5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,analyst,na,na
261,Principal Scientist - Immunologist,$98K-$182K ,3.7,Takeda Pharmaceuticals,MA,"Boston, MA","OSAKA, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,98,182,140,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M
262,Senior Data Analyst,$55K-$100K ,2.8,Dodge Data & Analytics,NJ,"Hamilton, NJ","Hamilton, NJ",201 - 500,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown,0,0,55,100,77.5,7,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,analyst,sr,na
263,Insurance Financial Data Analyst,$45K-$82K ,4.2,Clearwater Analytics,ID,"Boise, ID","Boise, ID",501 - 1000,2004,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),Unknown,0,0,45,82,63.5,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
264,Data Scientist,$83K-$135K ,4,"Tekvalley, Corp.",CA,"San Francisco, CA","Pleasanton, CA",Jan-50,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),Unknown,0,0,83,135,109,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
265,Data Scientist,$70K-$122K ,3.5,BWX Technologies,TN,"Oak Ridge, TN","Lynchburg, VA",5001 - 10000,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),Unknown,0,0,70,122,96,171,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,data scientist,na,M
266,Principal Data Scientist with over 10 years experience,$200K-$250K,-1,CA-One Tech Clou,CA,"San Francisco, CA","Fremont, CA",51 - 200,2017,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),Unknown,0,1,200,250,225,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,na
267,Data Engineer,$70K-$132K ,3.2,PennyMac,CA,"Agoura Hills, CA","Westlake Village, CA",1001 - 5000,2008,Company - Public,Lending,Finance,$500 million to $1 billion (USD),"Nationstar Mortgage, Caliber Funding, Quicken Loans",0,0,70,132,101,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,data engineer,na,na
268,Senior Data Scientist,$73K-$124K ,3.3,Plymouth Rock Assurance,NJ,"Woodbridge, NJ","Boston, MA",1001 - 5000,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",0,0,73,124,98.5,39,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
269,Data Engineer I - Azure,$54K-$101K ,3.9,Vermeer,IA,"Pella, IA","Pella, IA",1001 - 5000,1948,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),"Caterpillar, John Deere, CNH Industrial",0,0,54,101,77.5,73,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,data engineer,na,na
270,"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K ,3.7,Takeda Pharmaceuticals,MA,"Boston, MA","OSAKA, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,117,206,161.5,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M
271,MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour,3.6,Beebe Healthcare,DE,"Lewes, DE","Lewes, DE",1001 - 5000,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Unknown,1,0,43,70,56.5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na
272,Sr. Data Scientist II,$111K-$183K ,3.4,Argo Group US,NY,"New York, NY","Hamilton, Bermuda",1001 - 5000,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),Unknown,0,0,111,183,147,73,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,data scientist,sr,na
273,Data Scientist,$68K-$112K ,3.5,L&T Infotech,CA,"San Ramon, CA","Mumbai, India",10000+,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,"Infosys, Accenture, Capgemini",0,0,68,112,90,24,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,data scientist,na,na
274,Information Security Data Analyst,$42K-$74K ,4.3,OceanFirst Financial,NJ,"Red Bank, NJ","Toms River, NJ",501 - 1000,1902,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD),Unknown,0,0,42,74,58,119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
275,Excel / VBA / sql_ Data Analyst,$44K-$78K ,4.1,Associated Electric Cooperative,MO,"Springfield, MO","Springfield, MO",501 - 1000,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),Unknown,0,0,44,78,61,60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M
